Reactions, Diffusion and Volume Exclusion in a Heterogeneous System of  Interacting Particles
Lieb-Schultz-Mattis Theorem and its generalizations from the Perspective  of the Symmetry Protected Topological phase
Role of dimensionality in preferential attachment growth in the  Bianconi-Barabási model
Topology and geometry of spin origami
Short note on the density of states in 3D Weyl semimetals
Diagrammatic routes to nonlocal correlations beyond dynamical mean field  theory
Quantum light in curved low dimensional hexagonal boron nitride systems
Driving Topological Phases by Spatially Inhomogeneous Pairing Centers
A simple theory for the dynamics of mean-field-like models of  glass-forming fluids
Maximizing free energy gain
A Discrete-to-Continuum Model of Weakly Interacting Incommensurate  Chains
Energy invariance in capillary systems
Retrieving the quantitative chemical information at nanoscale from SEM  EDX measurements by Machine Learning
Study of the upper-critical dimension of the East model through the  breakdown of the Stokes-Einstein relation
Semimetallic single atomic layer silicon allotrope with Dirac fermions
Wear-resistant thin films of MRI-230D-Mg alloy using plasma-driven  electrolytic oxidation
A strongly correlated metal built from Sachdev-Ye-Kitaev models
Superconducting Properties and $μ$SR Study of the Noncentrosymmetric  Superconductor Nb$_{0.5}$Os$_{0.5}$
Infrared-transmittance tunable metal-insulator conversion device with  thin-film-transistor-type structure on a glass substrate
Simulation Study of Ion Diffusion in Charged Nanopores with Anchored  Terminal Groups
Quantum Monte Carlo simulation of a two-dimensional Majorana lattice  model
Competing spin liquids and hidden nematic order in spin ice with  frustrated transverse exchange
A multiscale approach to liquid crystal nematics via statistical field  theory
Dissociation rates from single-molecule pulling experiments under large  thermal fluctuations or large applied force
Theory of magnetism in La$_2$NiMnO$_6$
Development and properties of composite cement reinforced coconut fiber  with the addition of fly ash
Observation, Evidence and Origin of Room Temperature Magnetodielectric  Effect in Mn doped LaGaO3
Photoinduced charge-order melting dynamics in a one-dimensional  interacting Holstein model
Dynamics of electric charge transport and determination of the  percolation insulator-to-metal transition in polyvinyl-pyrrolidone /  nano-graphene platelet composites
Improved electronic structure and magnetic exchange interactions in  transition metal oxides
Electric properties of carbon nano-onion/polyaniline composites: a  combined electric modulus and ac conductivity study
Magnon spectrum in two- and three- dimensional skyrmion crystals
Anisotropic thermophoresis
Theoretical treatment of anharmonicity of vibrational modes of  single-walled carbon nanotubes
Anharmonicity of vibrational modes in fullerenes
Resonant inelastic x-ray scattering operators for $t_{2g}$ orbital  systems
Higgs mode and its decay in a two dimensional antiferromagnet
Adiabatically tuning quantized supercurrents in an annular Bose-Einstein  condensate
Finite plateau in spectral gap of polychromatic constrained random  networks
Double-Exchange Interaction in Optically Induced Nonequilibrium State: A  Conversion from Ferromagnetic to Antiferromagnetic Structure
Dynamic interdependence and competition in multilayer networks
An Analytical Solution for the Wigner-Boltzmann Transport Equation in  the Relaxation Time Approximation
Interaction-driven Quantum Anomalous Hall Effect in Halogenated Hematite  Nanosheets
Two-dimensional boron on Pb (110) surface
Quasi adiabatic dynamics of energy eigenstates for solvable quantum  system at finite temperature
Angular Dependent Magnetization Dynamics of Kagome Artificial Spin Ice  Incorporating Topological Defects
Sensing ion channels in neuronal networks with graphene transistors
Large linear magnetoresistance in a transition-metal stannide  $β$-RhSn$_4$
Band offsets at amorphous-crystalline $Al_2O_3-SrTiO_3$ oxide interfaces
The role of phase fluctuations in model of superconductivity with the  external pair potential
Automated approaches for band gap mapping in STEM-EELS
Direct exciton emission from atomically thin transition metal  dichalcogenide heterostructures near the lifetime limit
Comparison of dynamic mechanical properties of non-superheated and  superheated A357 alloys
The Effect of Solutes on the Temperature of Miscibility Transitions in  Multi-component Membranes
Pinning effects on self-heating and flux-flow instability in  superconducting films near $T_{c}$
Large Thermoelectric Power Factor at Low Temperatures in One-Dimensional  Telluride Ta4SiTe4
Route from discreteness to the continuum for the non-logarithmic  $q$-entropy
Predictive Simulations for Tuning Electronic and Optical Properties of  SubPc Derivatives
Coulomb interaction driven instabilities of sliding Luttinger liquids
Finite energy spin fluctuation as a pairing glue in systems with  coexisting electron and hole bands
Perturbative Thermodynamic Geometry of Nonextensive Ideal Classical,  Bose and Fermi Gases
Quantum-limited directional amplifiers with optomechanics
Proximity effect and interface transparency in Al/InAs-nanowire/Al  diffusive junctions
Modeling induction period of polymer crystallization
Ferroionic states in ferroelectric thin films
Piezoresponse of ferroelectric films in ferroionic states: time and  voltage dynamics
Quasi one-dimensional metallic band dispersion in the commensurate  charge density wave of $1T$-TaS$_2$
Spontaneous condensation of exciton polaritons in the single-shot regime
Anisotropic hybrid excitation modes in monolayer and double-layer  phosphorene on polar substrates
Spin-1 Bose Hubbard model with nearest neighbour extended interaction
Cycloidal magnetism driven ferroelectricity in double tungstate  LiFe(WO$_4$)$_2$
Hydrodynamic instabilities, waves and turbulence in spreading epithelia
Global phase diagram and quantum spin liquids in spin-1/2 triangular  antiferromagnet
Topological Dirac Nodal-net Fermions in AlB$_2$-type TiB$_2$ and ZrB$_2$
Graphene oxide adsorptive power from better to more via an enhanced  route in perspective
Characterization of Zinc oxide & Aluminum Ferrite and Simulation studies  of M-H plots of Cobalt/Cobaltoxide
Crystal Growth of Cu6(Ge,Si)6O18.6H2O and Assignment of UV-VIS Spectra  in Comparison to Dehydrated Dioptase and Selected Cu(II) Oxo-Compounds  Including Cuprates
Mimicking cuprates: large orbital polarization in a metallic  square-planar nickelate
Master Equations for Electron Transport: The Limits of the Markovian  Limit
Anisotropic plasmons, Friedel oscillations and dynamical screening in  $8-Pmmn$ borophene
High pressure floating-zone growth of perovskite nickelate LaNiO3 single  crystals
Direct optical detection of Weyl fermion chirality in a topological  semimetal
Thermodynamic cost and benefit of data representations
Stiffnessometer, a magnetic-field-free superconducting stiffness meter  and its application
Many-body self-localization in a translation-invariant Hamiltonian
Characterizing the many-body localization transition through the  entanglement spectrum
Topological degeneracy and pairing in a one-dimensional gas of spinless  Fermions
MBE growth of 2H-MoTe2 and 1T'-MoTe2 on 3D substrates
Superconductivity with broken time reversal symmetry in ion irradiated  Ba$_{0.27}$K$_{0.73}$Fe$_2$As$_2$ single crystals
Short Time and Structural Dynamics in Polypropylene Glycol Nanocomposite
Emergence of curved light-cones in a class of inhomogeneous Luttinger  liquids
Selective mass enhancement close to the quantum critical point in  BaFe$_2$(As$_{1-x}$P$_x$)$_2$
Measurement of Surface Acoustic Wave Resonances in Ferroelectric Domains  by Microwave Microscopy
Contrasting the dynamics of elastic and non-elastic deformations across  an experimental colloidal Martensitic transition
Anomalous ^{125}Te Nuclear Spin Relaxation Coincident with Charge Kondo  Behavior in Superconducting Pb_{1-x}Tl_{x}Te
SU(4) Kondo entanglement in double quantum dot devices
Optical selection rules of zigzag graphene nanoribbons
Reversible spin texture in ferroelectric HfO2
Magnetic Field-Free Giant Magnetoresistance in a Proximity- and  Gate-Induced Graphene Spin Valve
Four kinetic energy formulas for studying the interaction of energetic  ions with carbon nanotubes
Room-temperature high detectivity mid-infrared photodetectors based on  black arsenic phosphorus
Carbon Ejection from a SiO2/SiC(0001) Interface by Annealing in  High-Purity Ar
Nodeless superconductivity and the peak effect in the  quasi-skutterudites $\mathrm{Lu}_3\mathrm{Os}_4\mathrm{Ge}_{13}$ and  $\mathrm{Y}_3\mathrm{Ru}_4\mathrm{Ge}_{13}$
(NaCl)_x(KCl)_{y-x}(KBr)_{1-y} single crystals: study of the ac  conductivity activation energy
The Spin-Reorientation Transition in TmFeO3
The dielectric constant of Na_{0.4}K_{0.6}Br and its large temperature  variation
Symmetry-enforced heavy-fermion physics in the quadruple-perovskite  CaCu3Ir4O12
Exact solution for the quench dynamics of a nested integrable system
Activity statistics in a colloidal glass former: experimental evidence  for a dynamical transition
Exact lowest-Landau-level solutions for vortex precession in  Bose-Einstein condensates
LDA+DMFT approach to ordering phenomena and the structural stability of  correlated materials
Driven Brownian particle as a paradigm for a nonequilibrium heat bath:  Effective temperature and cyclic work extraction
Double Andreev Reflections in Type-II Weyl Semimetal-Superconductor  Junctions
An efficient tight-binding mode-space NEGF model enabling up to million  atoms III-V nanowire MOSFETs and TFETs simulations
DMFT study on the electron-hole asymmetry of the electron correlation  strength in the high Tc cuprates
Nucleated dewetting in supported ultra-thin liquid films with  hydrodynamic slip
Planar Hall-effect, Anomalous planar Hall-effect, and Magnetic  Field-Induced Phase Transitions in TaAs
Chopping time of the FPU $α$-model
Water-based and Biocompatible 2D Crystal Inks: from Ink Formulation to  All- Inkjet Printed Heterostructures
A regression-based feature selection study of the Curie temperature of  transition-metal rare-earth compounds: prediction and understanding
Monte Carlo study of the ordering in a strongly frustrated liquid  crystal
