Thermodynamic and kinetic fragility of Freon113: the most fragile  plastic crystal
Glassy anomalies in the low-temperature thermal properties of a  minimally disordered crystalline solid
Effective interactions in a quantum Bose-Bose mixture
Irreversibility in two-body system. Toy model
Topological Hopf and chain link semimetal states and their application  to Co2MnGa (Theory and Materials Prediction)
Multiscale modeling of a rectifying bipolar nanopore: explicit-water  versus implicit-water simulations
When and how much the altruism impacts your privileged information?  Proposing a new paradigm in game theory: The boxers game
Dynamical density functional theory for the evaporation of droplets of  nanoparticle suspension
A Quantized Inter-level Character in Quantum Systems
Distribution of shortest cycle lengths in random networks
Nonlinear Pauli Susceptibilities in Sr$_3$Ru$_2$O$_7$ and Universal  Features of Itinerant Metamagnetism
Quantum-Confined Electronic States arising from Moiré Pattern of  MoS2-WSe2 Hetero-bilayers
Dynamical violation of scale invariance and the dilaton in a cold Fermi  gas
Dislocation Networks and the Microstructural Origin of Strain Hardening
Finite-time universality in nonequilibrium CFT
Tunable Assembly of Gold Nanorods in Polymer Solutions to Generate  Controlled Nanostructured Materials
Two-component Marangoni-contracted droplets: friction and shape
Susceptibility Propagation by Using Diagonal Consistency
Surface states of gapped electron systems and semi-metals
Lattice Model for Production of Gas
The Fourier heat conduction as a strong kinetic effect
Alkali-metal induced band structure deformation investigated by  angle-resolved photoemission spectroscopy and first-principles calculations
Spin reorientation and disordered rare earth magnetism in  Ho$_2$FeCoO$_6$
Frustrated antiferromagnetic honeycomb-tunnel-like lattice CuRE2Ge2O8  (RE=Pr, Nd, Sm, and Eu)
Spin waves and stability of zigzag order in the Hubbard model with  spin-dependent hopping terms - Application to the honeycomb lattice compounds  ${\rm Na_2 Ir O_3}$ and ${\rm α- Ru Cl_3}$
Many body localization-delocalization transition in quantum  Sherrington-Kirkpatrick model
Spin-resolved electron waiting times in a quantum dot spin valve
Excitonic physics in a Dirac quantum dot
The effect of inhomogeneous phase on the critical temperature of smart  meta-superconductor MgB2
Tuning the pairing interaction in a $d$-wave superconductor by  paramagnons injected through interfaces
Solitonic Josephson thermal transport
Effect of spin-orbit coupling on the elastic, mechanical, and  thermodynamic properties of Bi-Sb binaries
Active control of thermomagnetic avalanches in superconducting Nb films  with tunable anisotropy
Anyonic statistics of quantum impurities in two dimensions
Titanium Contacts to Graphene: Process-Induced Variability in Electronic  and Thermal Transport
Excitation spectra in crystal plasticity
Effective self-similar expansion for the Gross-Pitaevskii equation
Exchange Enhancement of the Electron-Phonon Interaction: the Case of  Weakly Doped Two-Dimensional Multivalley Semiconductors
The full replica symmetry breaking in the Ising spin glass on random  regular graph
Deep Neural Network Detects Quantum Phase Transition
Electron localization properties in high pressure hydrogen at the  liquid-liquid phase transition by Coupled Electron-Ion Monte Carlo
The AFLOW Fleet for Materials Discovery
Integrable Trotterization: Local Conservation Laws and Boundary Driving
Learning phase transitions from dynamics
Braids and phase gates through high-frequency virtual tunneling of  Majorana Zero Modes
Long-range overcharging and long-range charge reversal in model  colloidal dispersions
