Wigner crystal vs. Friedel oscillations in the 1D Hubbard model
Directed flow in non-adiabatic stochastic pumps
Short-range Charge and Spin Superstructures in Doped Layered Co  Perovskites
Determination of the Superfluid Gap in Atomic Fermi Gases by  Quasiparticle Spectroscopy
Effect of CuO chains on the local density of states in the vortex phase  of YBa_2Cu_3O_7
Relating the microscopic rules in coalescence-fragmentation models to  the macroscopic cluster size distributions which emerge
Evidence for Unconventional Superconductivity in Arsenic-Free Iron-Based  Superconductor FeSe : A ^77Se-NMR Study
Molecular Dynamics Simulation on a Glassforming NiZr- System: Diffusion  Coefficients and Critical Temperature
Trapping of Ultracold Atoms in a Hollow-core Photonic Crystal Fiber
Asymmetric Magnetization Reversal in a Single Exchange-Biased Micro Bar
Theoretical and experimental study of AC loss in HTS single pancake  coils
A first principles study on the electronic and magnetic properties of  Ba$_{1-x}$K$_x$Fe$_2$As$_2$
Polaronic Pseudogap in the Metallic Phase of  La$_{0.625}$Ca$_{0.375}$MnO$_3$ Thin Films
Electric-field driven long-lived spin excitations on a cylindrical  surface with spin-orbit interaction
Effects of turbulent mixing on the nonequilibrium critical behaviour
Structure and phase equilibria of the Widom-Rowlinson model
Influence of Band and Orbital Degeneracies on Ferromagnetism in the  Periodic Anderson Model
Structural precursor to freezing: An integral equation study
Probing the Hofstadter butterfly with the quantum oscillation of  magnetization
Boundary conformal field theories and loop models
The Overlapping Muffin-Tin Approximation
Magnetic correlations in La2-xSrxCoO4 studied by neutron scattering :  possible evidence for stripe phases
Importance of the crystalline symmetry in the piezoelectric properties  of (K0.44+xNa0.52Li0.04)(Nb0.86Ta0.10Sb0.04)O3+x/2 lead-free ceramics
Inhomogeneous Quantum Quenches
Field-Driven Domain-Wall Dynamics in GaMnAs Films with Perpendicular  Anisotropy
Scattering and binding of different atomic species in a one-dimensional  optical lattice
Primary tunnel junction thermometry
Particle-hole fluctuations in the BCS-BEC Crossover
Front Propagation with Rejuvenation in Flipping Processes
Parity-dependent proximity effect in superconductor/antiferromagnet  heterostructures
Quantum phase transitions beyond the Landau-Ginzburg paradigm and  supersymmetry
Superconductivity in Co-doped SmFeAsO
The Laser Ablation Production of Platinum Nitride and its Possible  Structure
