Glassy behavior in the ferromagnetic and the non-magnetic insulating  states of the rare earth manganates, Ln0.7Ba0.3MnO3 (Ln = Nd or Gd)
Solution of the Percus-Yevick equation for hard discs
Direct observation of the ice rule in artificial kagome spin ice
What is Quantum in Quantum Pumping: The Role of Phase and Asymmetries
Non-local effects in the plasmons of strongly interacting nanoparticles,  dimers, and waveguides
Velocity Distribution and the Effect of Wall Roughness in Granular  Poiseuille Flow
Orientational correlation and velocity distributions in uniform shear  flow of a dilute granular gas
Rapid change of electronic anisotropy in overdoped (Y,Ca)Ba2Cu3O7-d
Hydrodynamic Theory for Reverse Brazil Nut Segregation and the  Non-monotonic Ascension Dynamics
The constant-pressure molecular dynamics for finite systems and its  applications
Study of the low-temperature behavior of a disordered antiferromagnet  with random fields by the parallel-tempering method
First-order transition features of the 3D bimodal random-field Ising  model
Phase Diagram of the 3D Bimodal Random-Field Ising Model
Dynamics of matter-wave solitons in a ratchet potential
Thermal critical behavior and universality aspects of the  three-dimensional random-field Ising model
Ultrafast dynamics of a magnetic antivortex - Micromagnetic simulations
Ground states of colloidal molecular crystals on periodic substrates
Phases in optical lattices vs. Coulomb frustrated HTc cuprates
Magnetic quantum oscillations in doped antiferromagnetic insulators
Glassy magnetic behavior induced by $Cu^{2+}$ substitution in frustrated  antiferromagnet $ZnCr_2O_4$
Wave-packet Formalism of Full Counting Statistics
Composite boson many-body theory for Frenkel excitons
Pressure effects on the structural and electronic properties of ABX4  scintillating crystals
Generalized Fokker-Planck equation, Brownian motion, and ergodicity
Quasi-one-dimensional disordered systems: fluctuations, transport and  interplay
Vortex Ferroelectric Domains
First principles modeling of oxygen adsorption on LaMnO3 (001) surface
Nodal quasiparticles and the onset of spin density wave order in the  cuprates
Optimized free energies from bidirectional single-molecule force  spectroscopy
Spin-dependent processes at the crystalline Si-SiO_2 interface at high  magnetic fields
Phonon-induced decoherence of the two-level quantum subsystem due to  relaxation and dephasing processes
Functional-differential equations for $F_q$%-transforms of $q$-Gaussians
Transient State Work Fluctuation Theorem for a Driven Classical System
Order-N Cluster Monte Carlo Method for Spin Systems with Long-range  Interactions
On the sign structure of doped Mott insulators
